"site_id","subplot","detect"
"12033 _ 1 _ 2024","6",0
"12033 _ 1 _ 2024","7",0
"12213 _ 1 _ 2024","1",0
"12213 _ 1 _ 2024","2",0
"12213 _ 1 _ 2024","3",0
"12213 _ 1 _ 2024","4",0
"12213 _ 1 _ 2024","5",0
"12213 _ 1 _ 2024","6",1
"12213 _ 1 _ 2024","7",0
"12239 _ 1 _ 2024","1",0
"12239 _ 1 _ 2024","2",0
"12239 _ 1 _ 2024","3",0
"12239 _ 1 _ 2024","4",0
"12239 _ 1 _ 2024","5",0
"12239 _ 1 _ 2024","6",1
"12239 _ 1 _ 2024","7",0
"12349 _ 1 _ 2024","1",1
"12349 _ 1 _ 2024","2",0
"12349 _ 1 _ 2024","3",0
"12349 _ 1 _ 2024","4",0
"12349 _ 1 _ 2024","5",1
"12349 _ 1 _ 2024","6",1
"12349 _ 1 _ 2024","7",0
"12362 _ 1 _ 2024","1",0
"12362 _ 1 _ 2024","2",0
"12362 _ 1 _ 2024","3",0
"12362 _ 1 _ 2024","4",1
"12362 _ 1 _ 2024","5",0
"12362 _ 1 _ 2024","6",1
"12362 _ 1 _ 2024","7",0
"12364 _ 1 _ 2024","1",1
"12364 _ 1 _ 2024","2",0
"12364 _ 1 _ 2024","3",0
"12364 _ 1 _ 2024","4",0
"12364 _ 1 _ 2024","5",0
"12364 _ 1 _ 2024","6",0
"12364 _ 1 _ 2024","7",0
"12421 _ 1 _ 2024","1",0
"12421 _ 1 _ 2024","2",0
"12421 _ 1 _ 2024","3",0
"12421 _ 1 _ 2024","4",1
"12421 _ 1 _ 2024","5",1
"12421 _ 1 _ 2024","6",0
"12421 _ 1 _ 2024","7",0
"12441 _ 1 _ 2024","1",0
"12441 _ 1 _ 2024","2",1
"12441 _ 1 _ 2024","3",0
"12441 _ 1 _ 2024","4",1
"12441 _ 1 _ 2024","5",0
"12441 _ 1 _ 2024","6",0
"12441 _ 1 _ 2024","7",1
"12560 _ 1 _ 2024","1",0
"12560 _ 1 _ 2024","2",0
"12560 _ 1 _ 2024","3",0
"12560 _ 1 _ 2024","4",0
"12560 _ 1 _ 2024","5",1
"12560 _ 1 _ 2024","6",0
"12560 _ 1 _ 2024","7",0
"12776 _ 1 _ 2024","1",0
"12776 _ 1 _ 2024","2",0
"12776 _ 1 _ 2024","3",0
"12776 _ 1 _ 2024","4",0
"12776 _ 1 _ 2024","5",0
"12776 _ 1 _ 2024","6",0
"12776 _ 1 _ 2024","7",0
"12804 _ 1 _ 2024","1",1
"12804 _ 1 _ 2024","2",1
"12804 _ 1 _ 2024","3",0
"12804 _ 1 _ 2024","4",0
"12804 _ 1 _ 2024","5",0
"12804 _ 1 _ 2024","6",1
"12804 _ 1 _ 2024","7",0
"12805 _ 1 _ 2024","1",0
"12805 _ 1 _ 2024","2",1
"12805 _ 1 _ 2024","3",0
"12805 _ 1 _ 2024","4",0
"12805 _ 1 _ 2024","5",0
"12805 _ 1 _ 2024","6",1
"12805 _ 1 _ 2024","7",0
"12806 _ 1 _ 2024","1",0
"12806 _ 1 _ 2024","2",0
"12806 _ 1 _ 2024","3",1
"12806 _ 1 _ 2024","4",1
"12806 _ 1 _ 2024","5",0
"12806 _ 1 _ 2024","6",1
"12806 _ 1 _ 2024","7",1
"13924 _ 1 _ 2024","1",0
"13924 _ 1 _ 2024","2",0
"13924 _ 1 _ 2024","3",1
"13924 _ 1 _ 2024","4",0
"13924 _ 1 _ 2024","5",0
"13924 _ 1 _ 2024","6",0
"13924 _ 1 _ 2024","7",0
"15562 _ 1 _ 2024","1",0
"15562 _ 1 _ 2024","2",0
"15562 _ 1 _ 2024","3",0
"15562 _ 1 _ 2024","4",0
"15562 _ 1 _ 2024","5",0
