date,subplot_code,year,id_num,dwd_type,size_cl,decay_cl,char_cl,length_cl,
5/18/2023,BLM29429_UU_04,2023,3,S,2,3,1,,
5/18/2023,BLM29429_UU_04,2023,4,L,1,2,1,3,
5/18/2023,BLM29429_UU_04,2023,5,L,1,3,1,2,
5/18/2023,BLM29429_UU_05,2023,1,S,2,3,1,,
5/18/2023,BLM29429_UU_05,2023,2,S,2,1,1,,
5/18/2023,BLM29429_UU_05,2023,3,L,1,3,1,2,
5/18/2023,BLM29429_UU_05,2023,4,L,1,2,1,2,
5/18/2023,BLM29429_UU_05,2023,5,L,1,2,1,1,
5/18/2023,BLM29429_UU_05,2023,6,L,1,2,1,1,
5/18/2023,BLM29429_UU_06,2023,1,S,2,1,1,,
5/18/2023,BLM29429_UU_06,2023,2,S,2,2,1,,
5/18/2023,BLM29429_UU_06,2023,3,L,2,2,1,3,
5/18/2023,BLM29429_UU_07,2023,1,L,1,2,1,3,
5/18/2023,BLM29429_UU_07,2023,2,S,1,2,1,,
5/18/2023,BLM29429_UU_07,2023,3,S,1,2,1,,
5/18/2023,BLM29429_UU_07,2023,4,S,1,2,1,,
5/18/2023,BLM29429_UU_07,2023,5,L,1,2,1,2,
5/18/2023,BLM29889_UU_01,2023,1,L,1,2,1,3,
5/18/2023,BLM29889_UU_01,2023,2,L,1,2,1,3,
5/18/2023,BLM29889_UU_01,2023,3,S,1,1,1,,
5/18/2023,BLM29889_UU_01,2023,4,S,1,1,1,,
5/18/2023,BLM29889_UU_01,2023,5,S,2,2,1,,
5/18/2023,BLM29889_UU_01,2023,6,S,2,1,1,,
5/18/2023,BLM29889_UU_01,2023,7,S,1,1,1,,
5/18/2023,BLM29889_UU_02,2023,1,S,2,2,1,,
5/18/2023,BLM29889_UU_02,2023,2,S,2,2,1,,
5/18/2023,BLM29889_UU_02,2023,3,L,2,2,1,3,
5/18/2023,BLM29889_UU_02,2023,4,L,1,2,1,3,
5/18/2023,BLM29889_UU_02,2023,5,S,2,3,1,,
5/18/2023,BLM29889_UU_02,2023,6,L,1,2,1,1,
5/18/2023,BLM29889_UU_02,2023,7,L,1,2,1,1,
5/18/2023,BLM29889_UU_02,2023,8,S,2,2,1,,
5/18/2023,BLM29889_UU_03,2023,1,L,2,3,1,3,
5/18/2023,BLM29889_UU_03,2023,2,L,2,2,1,3,
5/18/2023,BLM29889_UU_03,2023,3,L,1,2,1,2,
5/18/2023,BLM29889_UU_03,2023,4,L,1,1,1,2,
5/18/2023,BLM29889_UU_03,2023,5,S,2,3,1,,
5/18/2023,BLM29889_UU_03,2023,6,S,2,1,1,,
5/18/2023,BLM29889_UU_03,2023,7,S,2,2,1,,
5/18/2023,BLM29889_UU_03,2023,8,S,2,2,1,,
5/18/2023,BLM29889_UU_04,2023,1,L,1,3,1,3,
5/18/2023,BLM29889_UU_04,2023,2,L,1,2,1,3,
5/18/2023,BLM29889_UU_04,2023,3,L,2,2,1,1,
5/18/2023,BLM29889_UU_04,2023,4,S,2,2,1,,
5/18/2023,BLM29889_UU_04,2023,5,S,2,2,1,,
5/18/2023,BLM29889_UU_04,2023,6,S,1,2,1,,
5/18/2023,BLM29889_UU_05,2023,1,S,2,3,1,,
5/18/2023,BLM29889_UU_05,2023,2,S,2,3,1,,
5/18/2023,BLM29889_UU_05,2023,3,S,2,2,1,,
5/18/2023,BLM29889_UU_05,2023,4,L,1,3,1,2,
5/18/2023,BLM29889_UU_06,2023,1,L,2,3,1,2,
5/18/2023,BLM29889_UU_06,2023,2,L,2,3,1,3,
5/18/2023,BLM29889_UU_06,2023,3,L,2,3,1,3,
5/18/2023,BLM29889_UU_06,2023,4,L,2,3,2,3,
5/18/2023,BLM29889_UU_06,2023,5,L,2,3,2,1,
5/18/2023,BLM29889_UU_06,2023,6,L,2,3,2,2,
5/18/2023,BLM29889_UU_06,2023,7,L,2,3,1,2,
5/18/2023,BLM29889_UU_06,2023,8,L,2,3,1,2,
5/18/2023,BLM29889_UU_06,2023,9,L,2,3,1,2,
5/18/2023,BLM29889_UU_06,2023,10,S,1,2,1,,
5/18/2023,BLM29889_UU_06,2023,11,S,2,3,2,,
5/18/2023,BLM29889_UU_07,2023,1,S,2,2,1,,
5/18/2023,BLM29889_UU_07,2023,2,S,1,3,1,,
5/18/2023,BLM29889_UU_07,2023,3,L,1,3,1,2,
4/26/2023,ODF12033_BU_01,2023,1,S,2,3,2,,
4/26/2023,ODF12033_BU_01,2023,2,S,1,3,2,,
4/26/2023,ODF12033_BU_01,2023,3,S,2,2,2,,
4/26/2023,ODF12033_BU_01,2023,4,S,1,2,2,,
4/26/2023,ODF12033_BU_01,2023,5,S,1,3,2,,
4/26/2023,ODF12033_BU_01,2023,6,L,1,3,2,3,
4/26/2023,ODF12033_BU_01,2023,7,L,1,3,2,3,
4/26/2023,ODF12033_BU_01,2023,8,S,2,3,2,,
4/26/2023,ODF12033_BU_01,2023,9,S,2,3,2,,
4/26/2023,ODF12033_BU_02,2023,1,L,1,3,3,2,
4/26/2023,ODF12033_BU_02,2023,2,L,1,3,3,3,
4/26/2023,ODF12033_BU_02,2023,3,L,1,3,3,3,
4/26/2023,ODF12033_BU_02,2023,4,L,1,3,3,1,
4/26/2023,ODF12033_BU_02,2023,5,L,1,3,3,3,
4/26/2023,ODF12033_BU_02,2023,6,L,2,3,3,3,
4/26/2023,ODF12033_BU_02,2023,7,L,1,3,3,1,
4/26/2023,ODF12033_BU_02,2023,8,L,1,3,3,2,
4/26/2023,ODF12033_BU_02,2023,9,S,1,2,3,,
4/26/2023,ODF12033_BU_02,2023,10,S,2,2,2,,
4/26/2023,ODF12033_BU_02,2023,11,S,2,3,2,,
4/26/2023,ODF12033_BU_03,2023,1,S,2,3,3,,
4/26/2023,ODF12033_BU_03,2023,2,S,2,3,3,,
4/26/2023,ODF12033_BU_03,2023,3,S,2,3,3,,
4/26/2023,ODF12033_BU_03,2023,4,S,1,2,3,,
4/26/2023,ODF12033_BU_03,2023,5,L,1,2,2,3,
4/26/2023,ODF12033_BU_03,2023,6,L,1,3,3,3,
