OBJECTID_1,Join_Count,TARGET_FID,OID_,CID,Long,Lat,OBJECTID,CLEARCUT_Y,DISTRICT,ELEVATION_,STAND_ESTA,FRSTBL_ACR,GROSS_AREA,OFCLWCO__1,SETTING_NU,SITE_INDX_,OUNAME,LEGAL_DESC,UNIT_NUMBE,AVGAGE,LOC_SHP_ID,UTMX,UTMY,Acres,Owner,Page
"35","1","34","0","34",-122.36610352500,45.04785555570,1073.00000000000,"2017",Clackamas,"2750","58",73.30030000000,85.32070000000,"10553",,"109",,06S-04E-18,,,0.00000000000,549638.00000000000,4988680.00000000000,85.32110000000,WY,
"36","1","35","0","35",-122.35432776300,45.09078130210,26294.00000000000,"2018",Clackamas,"2100","57",109.95630000000,114.39800000000,"10185",,"118",,05S-04E-32,,,0.00000000000,551087.00000000000,4993150.00000000000,114.39800000000,WY,
"37","1","36","0","36",-122.41185696900,45.07842464320,965.00000000000,"2014",Clackamas,"1700","62",70.40490000000,74.09370000000,"10467",M3209,"124",,06S-03E-02,,,0.00000000000,546393.00000000000,4991750.00000000000,74.09400000000,WY,
"38","1","37","0","37",-122.67006754700,44.59946467070,72093.00000000000,"2017",Snowpeak,"0","67",50.13930000000,52.66500000000,"21213",,"131",,11S-01E-22,,,0.00000000000,526392.00000000000,4938420.00000000000,52.66520000000,WY,
"39","1","38","0","38",-122.41821008700,45.08270854840,19881.00000000000,"2018",Clackamas,"1250","62",30.71100000000,31.77500000000,"10506",,"128",,06S-03E-03,,,0.00000000000,545570.00000000000,4992370.00000000000,31.77510000000,WY,
"40","1","39","0","39",-122.39586346800,45.09573696220,17537.00000000000,"2015",Clackamas,"1850","61",95.49110000000,97.27410000000,"10078",M5206,"124",,05S-03E-35,,,0.00000000000,547607.00000000000,4993690.00000000000,97.27450000000,WY,
"41","1","40","0","40",-122.65289306600,44.62474159450,10138.00000000000,"2016",Snowpeak,"2000","59",44.73120000000,46.42900000000,"20560",K6214,"122",,11S-01E-11,,,0.00000000000,527795.00000000000,4941200.00000000000,46.42910000000,WY,
"42","1","41","0","41",-122.66477546600,44.62766670270,10364.00000000000,"2015",Snowpeak,"1700","58",26.96950000000,28.26640000000,"20600",K5213,"122",,11S-01E-10,,,0.00000000000,526694.00000000000,4941510.00000000000,28.26660000000,WY,
"43","1","42","0","42",-122.60995300500,44.64978877930,6236.00000000000,"0",Snowpeak,"3100","54",52.79390000000,54.00020000000,"21026",,"96",,11S-02E-06,,,0.00000000000,531110.00000000000,4943830.00000000000,54.00040000000,WY,
"44","1","43","0","43",-122.65208886200,44.61116791200,6852.00000000000,"0",Snowpeak,"2000","60",55.65990000000,57.16280000000,"20535",,"125",,11S-01E-14,,,0.00000000000,528018.00000000000,4939950.00000000000,57.16310000000,WY,
"45","1","44","0","44",-122.60703137900,44.63921807340,2876.00000000000,"0",Snowpeak,"3100","59",101.19890000000,107.33780000000,"21029",,"97",,11S-02E-06,,,0.00000000000,530950.00000000000,4942930.00000000000,107.33800000000,WY,
"46","1","45","0","45",-122.60334428800,44.53662651320,3406.00000000000,"2014",Snowpeak,"2100","72",43.44620000000,54.65180000000,"20031",K4202,"117",,12S-02E-07,,,0.00000000000,531517.00000000000,4931670.00000000000,54.65210000000,WY,
"47","1","46","0","46",-122.37838296800,45.04538215130,4602.00000000000,"2014",Clackamas,"2900","61",104.05040000000,106.85980000000,"10498",M4216,"104",,06S-03E-13,,,0.00000000000,548824.00000000000,4988550.00000000000,106.86000000000,WY,
"48","1","47","0","47",-122.35236925800,45.15772862450,0.00000000000,"2018",Clackamas,"0","55",0.00000000000,0.00000000000,"408161",,"0",Jackson Cleanup,05S-04E-06,"1059","54.9",0.00000000000,550749.00000000000,5000710.00000000000,96.95890000000,PBTF,
"49","1","48","0","48",-122.26531763200,45.18749017930,0.00000000000,"2018",Clackamas,"0","68",0.00000000000,0.00000000000,"33651",,"0",Old Man Hill,04S-04E-25,"1069","68.4",0.00000000000,557761.00000000000,5004360.00000000000,72.84180000000,PBTF,
"50","1","49","0","49",-122.38208537600,45.25556916740,0.00000000000,"2013",Clackamas,"0","67",0.00000000000,0.00000000000,"33554",,"0",Longfellow,04S-03E-01,"1002","67",33554.00000000000,548622.00000000000,5011610.00000000000,24.32270000000,PBTF,
"51","1","50","0","50",-122.29985842300,45.16875672900,0.00000000000,"2016",Clackamas,"0","65",0.00000000000,0.00000000000,"34007",,"0",In the Clear,"05S-04E-03, 02","1012","64.9",34007.00000000000,555408.00000000000,5002010.00000000000,113.22700000000,PBTF,
"52","1","51","0","51",-122.33517302400,45.14365087080,0.00000000000,"2014",Clackamas,"0","59",0.00000000000,0.00000000000,"33810",,"0",Crooked Lock,05S-04E-08,"1073","59",33810.00000000000,552069.00000000000,4999410.00000000000,112.35600000000,PBTF,
