Owner,TreeFarm,StandNo,SubPlot,V1,V2,V3
WY,SP,20194,4,*,*,*
WY,SP,20232,4,0,0,0
WY,SP,20236,4,0,0,0
WY,SP,20237,4,0,0,0
WY,SP,20281,4,0,0,0
WY,SP,20283,4,1,0,0
WY,SP,20288,4,0,0,0
WY,SP,20291,4,*,*,*
WY,SP,20360,4,0,0,0
WY,SP,20361,4,0,0,0
WY,SP,20497,4,0,0,0
WY,SP,20535,4,0,1,0
WY,SP,20536,4,0,0,0
WY,SP,20538,4,0,0,0
WY,SP,20540,4,0,0,0
WY,SP,20543,4,0,0,0
WY,SP,20550,4,0,0,0
WY,SP,20560,4,0,0,0
WY,SP,20565,4,0,0,0
WY,SP,20571,4,0,0,0
WY,SP,20600,4,0,0,0
WY,SP,20616,4,0,0,0
WY,SP,20626,4,0,0,0
WY,SP,20666,4,0,0,0
WY,SP,20698,4,0,0,1
WY,SP,20818,4,0,0,0
WY,SP,21019,4,0,1,0
WY,SP,21026,4,0,1,1
WY,SP,21029,4,0,0,0
WY,SP,21159,4,*,*,*
WY,SP,21213,4,*,*,*
BLM,SP,25954,4,0,0,0
BLM,SP,29121,4,0,0,0
BLM,SP,29122,4,0,1,1
BLM,SP,29123,4,0,0,0
BLM,SP,29429,4,0,0,0
BLM,SP,29431,4,0,0,0
BLM,SP,29889,4,0,0,0
PB,CL,33554,4,1,0,0
PB,CL,33628,4,0,0,0
PB,CL,33651,4,0,0,0
PB,CL,33689,4,0,0,0
PB,CL,33754,4,0,0,0
PB,CL,33810,4,0,0,0
PB,CL,34007,4,0,0,0
PB,CL,34017,4,0,0,0
BLM,SP,35466,4,1,*,*
PB,CL,408143,4,0,0,0
PB,CL,408161,4,0,0,0
PB,CL,408162,4,*,*,*
PB,CL,408178,4,0,0,0
PB,CL,408180,4,*,*,*
ODF,SP,12407C,4,0,0,0
ODF,SP,12407T,4,0,0,0
BLM,CL,9757,5,0,0,0
WY,CL,10078,5,0,0,0
WY,CL,10153,5,0,0,0
WY,CL,10185,5,0,0,0
BLM,CL,10302,5,0,0,0
WY,CL,10399,5,0,0,0
BLM,CL,10439,5,0,0,0
WY,CL,10444,5,*,*,*
WY,CL,10467,5,0,0,0
WY,CL,10482,5,0,0,0
WY,CL,10488,5,0,0,0
WY,CL,10498,5,0,0,0
WY,CL,10506,5,0,0,0
WY,CL,10553,5,*,*,*
WY,CL,10597,5,0,0,0
WY,CL,10711,5,0,0,0
WY,CL,10963,5,0,0,0
WY,CL,10965,5,0,0,0
WY,CL,10968,5,*,*,*
WY,CL,11079,5,0,0,0
BLM,CL,12213,5,0,0,0
BLM,CL,12239,5,0,0,0
ODF,SP,12362,5,0,0,0
ODF,SP,12364,5,0,0,0
ODF,SP,12605,5,0,0,0
ODF,SP,12638,5,0,0,0
BLM,CL,13924,5,0,0,0
BLM,CL,15562,5,0,0,0
BLM,CL,16804,5,0,0,0
WY,SP,20031,5,0,0,0
WY,SP,20039,5,0,0,1
WY,SP,20053,5,*,*,*
WY,SP,20088,5,0,0,0
WY,SP,20090,5,0,0,0
WY,SP,20194,5,*,*,*
WY,SP,20232,5,0,0,0
WY,SP,20236,5,0,0,0
WY,SP,20237,5,0,0,0
WY,SP,20281,5,0,0,0
WY,SP,20283,5,0,0,0
WY,SP,20288,5,0,0,0
WY,SP,20291,5,*,*,*
WY,SP,20360,5,0,0,0
WY,SP,20361,5,1,1,0
WY,SP,20497,5,0,0,0
WY,SP,20535,5,0,0,0
WY,SP,20536,5,0,0,0
WY,SP,20538,5,0,0,0
WY,SP,20540,5,0,0,0
WY,SP,20543,5,0,0,0
WY,SP,20550,5,0,0,0
WY,SP,20560,5,0,0,0
WY,SP,20565,5,0,0,0
WY,SP,20571,5,0,0,0
WY,SP,20600,5,0,0,0
WY,SP,20616,5,0,0,0
WY,SP,20626,5,0,0,0
WY,SP,20666,5,0,0,0
WY,SP,20698,5,0,0,0
WY,SP,20818,5,0,0,0
WY,SP,21019,5,0,0,0
WY,SP,21026,5,0,0,0
WY,SP,21029,5,0,0,0
WY,SP,21159,5,*,*,*
WY,SP,21213,5,*,*,*
BLM,SP,25954,5,0,0,0
BLM,SP,29121,5,0,0,1
BLM,SP,29122,5,0,0,0
BLM,SP,29123,5,0,0,0
BLM,SP,29429,5,0,0,0
BLM,SP,29431,5,1,*,*
BLM,SP,29889,5,0,0,0
PB,CL,33554,5,0,0,0
PB,CL,33628,5,0,0,0
PB,CL,33651,5,0,0,0
PB,CL,33689,5,0,0,0
PB,CL,33754,5,0,0,0
PB,CL,33810,5,0,0,1
PB,CL,34007,5,0,0,0
PB,CL,34017,5,0,0,0
BLM,SP,35466,5,0,0,0
PB,CL,408143,5,0,0,0
PB,CL,408161,5,0,0,1
PB,CL,408162,5,*,*,*
PB,CL,408178,5,0,0,0
PB,CL,408180,5,*,*,*
ODF,SP,12407C,5,1,*,*
ODF,SP,12407T,5,0,0,1
BLM,CL,9757,6,0,0,0
WY,CL,10078,6,0,0,0
WY,CL,10153,6,0,0,0
WY,CL,10185,6,0,0,0
BLM,CL,10302,6,0,0,0
WY,CL,10399,6,0,0,0
BLM,CL,10439,6,0,0,0
WY,CL,10444,6,*,*,*
WY,CL,10467,6,0,0,0
WY,CL,10482,6,0,0,0
WY,CL,10488,6,0,0,0
WY,CL,10498,6,0,0,0
WY,CL,10506,6,0,0,0
WY,CL,10553,6,*,*,*
WY,CL,10597,6,0,0,0
WY,CL,10711,6,0,0,0
WY,CL,10963,6,0,0,0
WY,CL,10965,6,0,0,0
WY,CL,10968,6,*,*,*
WY,CL,11079,6,0,0,0
BLM,CL,12213,6,0,0,0
BLM,CL,12239,6,0,0,0
ODF,SP,12362,6,0,0,0
ODF,SP,12364,6,0,0,0
ODF,SP,12605,6,0,1,0
ODF,SP,12638,6,0,0,0
BLM,CL,13924,6,0,0,1
BLM,CL,15562,6,0,0,0
BLM,CL,16804,6,0,0,0
WY,SP,20031,6,0,0,0
WY,SP,20039,6,1,0,0
WY,SP,20053,6,*,*,*
WY,SP,20088,6,0,0,0
WY,SP,20090,6,0,0,0
WY,SP,20194,6,*,*,*
WY,SP,20232,6,0,0,0
WY,SP,20236,6,0,1,0
WY,SP,20237,6,0,0,0
WY,SP,20281,6,0,0,0
WY,SP,20283,6,0,0,0
WY,SP,20288,6,1,0,0
WY,SP,20291,6,*,*,*
WY,SP,20360,6,0,0,0
WY,SP,20361,6,0,0,0
WY,SP,20497,6,0,0,0
WY,SP,20535,6,0,0,0
WY,SP,20536,6,0,0,0
WY,SP,20538,6,0,0,0
WY,SP,20540,6,0,0,0
WY,SP,20543,6,0,0,0
WY,SP,20550,6,0,0,1
WY,SP,20560,6,0,0,0
WY,SP,20565,6,0,0,0
WY,SP,20571,6,0,0,0
WY,SP,20600,6,0,1,*
WY,SP,20616,6,0,0,0
WY,SP,20626,6,0,0,0
WY,SP,20666,6,0,0,1
WY,SP,20698,6,1,0,*
WY,SP,20818,6,0,0,0
WY,SP,21019,6,1,*,*
WY,SP,21026,6,0,0,0
WY,SP,21029,6,0,0,0
WY,SP,21159,6,*,*,*
WY,SP,21213,6,*,*,*
BLM,SP,25954,6,0,0,0
BLM,SP,29121,6,0,0,0
BLM,SP,29122,6,0,0,0
BLM,SP,29123,6,0,0,0
BLM,SP,29429,6,0,1,0
BLM,SP,29431,6,0,0,0
BLM,SP,29889,6,0,0,0
PB,CL,33554,6,0,0,0
PB,CL,33628,6,0,0,0
PB,CL,33651,6,0,0,0
PB,CL,33689,6,0,0,0
PB,CL,33754,6,0,0,0
PB,CL,33810,6,0,0,0
PB,CL,34007,6,0,0,0
PB,CL,34017,6,0,0,0
BLM,SP,35466,6,0,0,0
PB,CL,408143,6,0,0,0
PB,CL,408161,6,0,0,1
PB,CL,408162,6,*,*,*
PB,CL,408178,6,0,0,0
PB,CL,408180,6,*,*,*
ODF,SP,12407C,6,1,*,*
ODF,SP,12407T,6,0,0,0
BLM,CL,9757,7,0,0,0
WY,CL,10078,7,0,0,0
WY,CL,10153,7,0,0,0
WY,CL,10185,7,0,0,0
BLM,CL,10302,7,0,0,0
WY,CL,10399,7,0,0,0
BLM,CL,10439,7,1,0,1
WY,CL,10444,7,*,*,*
WY,CL,10467,7,0,0,0
